Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF/16","TantalC_SizeC_Reflow",14.9860,20.3200,-90.0000,bottom
"C2","100nF","C_0805_2012Metric",20.8280,18.0340,-90.0000,bottom
"C3","1uF","C_0805_2012Metric",23.9420,8.1280,0.0000,bottom
"C4","100nF","C_0805_2012Metric",27.6860,17.3330,-90.0000,bottom
"C5","10uF","C_0805_2012Metric",30.0990,17.2720,-90.0000,bottom
"C6","47uF/16","TantalC_SizeC_Reflow",33.7820,13.2080,-90.0000,bottom
"C7","47uF/16","TantalC_SizeC_Reflow",28.9712,29.0830,180.0000,bottom
"C8","1nF","C_0805_2012Metric",27.6860,12.8880,90.0000,bottom
"D1","15MQ040N","D_SMA",24.7650,22.9870,180.0000,bottom
"D2","SMBJ5.0A","D_SMA",35.5600,19.9390,0.0000,bottom
"R1","1k","R_0805_2012Metric",18.5420,20.4470,-90.0000,bottom
"R2","-","R_0805_2012Metric",18.5420,16.6135,-90.0000,bottom
"R3","0R","R_0805_2012Metric",19.9390,11.4535,90.0000,bottom
"R4","1k","R_0805_2012Metric",22.3520,5.0800,-90.0000,bottom
"R5","1k","R_0805_2012Metric",25.0190,5.0800,-90.0000,bottom
"R6","0R47","R_1206_3216Metric",30.3530,23.4335,-90.0000,bottom
"R7","560k","R_0805_2012Metric",28.0905,9.1440,0.0000,bottom
"R8","270k","R_0805_2012Metric",30.2260,12.8505,-90.0000,bottom
"U1","SPV1040","TSSOP-8_4.4x3mm_P0.65mm",24.1300,15.3670,-90.0000,bottom
